DOI,Year
10.1007/978-3-540-30475-3_9,2004
10.1007/11574620_1,2005
10.1007/11574620_10,2005
10.1007/11574620_11,2005
10.1007/11574620_12,2005
10.1007/11574620_13,2005
10.1007/11574620_14,2005
10.1007/11574620_15,2005
10.1007/11574620_16,2005
10.1007/11574620_17,2005
10.1007/11574620_18,2005
10.1007/11574620_19,2005
10.1007/11574620_2,2005
10.1007/11574620_20,2005
10.1007/11574620_21,2005
10.1007/11574620_22,2005
10.1007/11574620_23,2005
10.1007/11574620_24,2005
10.1007/11574620_25,2005
10.1007/11574620_26,2005
10.1007/11574620_27,2005
10.1007/11574620_28,2005
10.1007/11574620_29,2005
10.1007/11574620_3,2005
10.1007/11574620_30,2005
10.1007/11574620_31,2005
10.1007/11574620_32,2005
10.1007/11574620_33,2005
10.1007/11574620_34,2005
10.1007/11574620_35,2005
10.1007/11574620_36,2005
10.1007/11574620_37,2005
10.1007/11574620_38,2005
10.1007/11574620_39,2005
10.1007/11574620_4,2005
10.1007/11574620_40,2005
10.1007/11574620_41,2005
10.1007/11574620_42,2005
10.1007/11574620_43,2005
10.1007/11574620_44,2005
10.1007/11574620_45,2005
10.1007/11574620_46,2005
10.1007/11574620_47,2005
10.1007/11574620_48,2005
10.1007/11574620_49,2005
10.1007/11574620_5,2005
10.1007/11574620_50,2005
10.1007/11574620_51,2005
10.1007/11574620_52,2005
10.1007/11574620_53,2005
10.1007/11574620_54,2005
10.1007/11574620_55,2005
10.1007/11574620_56,2005
10.1007/11574620_57,2005
10.1007/11574620_58,2005
10.1007/11574620_59,2005
10.1007/11574620_6,2005
10.1007/11574620_60,2005
10.1007/11574620_61,2005
10.1007/11574620_62,2005
10.1007/11574620_63,2005
10.1007/11574620_64,2005
10.1007/11574620_65,2005
10.1007/11574620_66,2005
10.1007/11574620_67,2005
10.1007/11574620_68,2005
10.1007/11574620_69,2005
10.1007/11574620_7,2005
10.1007/11574620_70,2005
10.1007/11574620_71,2005
10.1007/11574620_72,2005
10.1007/11574620_73,2005
